extract_point,total_extraction_tons
611703,57920
611704,72258
611705,62822
611706,84977
611707,67039
611708,74854
611709,71232
611710,79234
611711,77671
611712,84460
611801,115121
611802,97694
611803,109025
611804,101899
611805,98710
613701,59381
613703,65176
613704,58623
613705,68567
613706,65609
613707,71251
613708,71769
613709,67579
613710,76182
613711,110117
613712,75211
613801,117116
613802,90171
613803,124891
613804,124338
613805,119217
613806,117297
613807,105156
613808,101471
613810,86665
613902,21260
615702,60653
615703,65193
615704,57936
615705,67845
615706,5042
615707,6289
615708,6953
615709,7974
615710,6651
615711,8822
615712,85582
615801,97273
615802,89746
615803,90268
615804,81704
615805,83159
615806,124689
615807,125488
615808,116090
615809,124725
615810,103005
615901,112117
615902,25207
615903,48815
617701,56966
617703,68080
617704,63242
617705,66498
617706,65916
617707,76855
617708,72590
617709,81583
617710,78491
617711,87059
617712,74948
617801,96443
617802,86800
617803,96007
617804,93695
617805,96989
617806,97100
617807,95929
617808,93009
617809,130444
617810,114310
617901,120729
617902,95115
617903,57462
617904,85387
617906,43899
621702,57051
621703,56680
621704,63207
621705,59266
621706,68741
621707,63498
621708,72011
621709,68469
621710,80467
621711,76178
621712,86394
621801,82789
621802,92178
621803,88205
621804,90928
621805,84297
621806,101906
621807,93710
621808,98790
621809,83996
621810,103785
621901,74541
621902,128583
621903,102400
621904,101002
621905,98156
621906,49898
621907,44312
623701,40785
623703,54896
623704,54476
623705,59649
623706,57965
623707,62779
623708,62042
623709,66670
623710,64034
623711,75969
623712,68304
623801,81227
623802,79502
623803,85575
623804,75054
623805,80768
623806,86380
623807,80009
623808,79393
623809,83498
623810,84189
623901,96031
623902,85142
623903,104118
623904,106690
623905,44272
623906,86746
623908,48678
625704,50209
625705,54306
625706,54286
625707,58371
625708,59070
625709,61639
625710,61503
625711,65780
625712,64821
625801,69612
625802,72095
625803,78887
625804,78208
625805,82193
625806,77638
625807,84225
625808,80623
625809,85867
625810,84511
625901,89614
625902,78023
625903,99700
625904,93892
625905,91843
625906,64863
625907,40101
627705,55633
627706,294
627707,60331
627708,57871
627709,60508
627710,62541
627711,68874
627712,66611
627801,68805
627802,70926
627803,82559
627804,80439
627805,84421
627806,81710
627807,78892
627808,78476
627809,89621
627810,86432
627901,92829
627902,87547
627903,105807
627904,92008
627905,78559
627906,78338
627908,12151
631205,58504
631207,69664
631209,80208
631211,39896
631301,21266
631303,19198
631305,18183
631307,8825
631309,14141
631311,9775
631313,15660
631401,9551
631403,9642
631405,5127
631707,5022
631708,10805
631709,6083
631710,11735
631711,5684
631712,13361
631801,6270
631802,15261
631803,8099
631804,14958
631805,8804
631806,19959
631807,10923
631808,23463
631809,10733
631810,25461
631811,10885
631901,9734
631902,26738
631903,7336
631904,24478
631905,4298
631906,19941
633203,52487
633204,57952
633205,59829
633206,63544
633207,61570
633208,56920
633209,62875
633210,61893
633212,66005
633302,30539
633303,21382
633304,33518
633305,15082
633306,24133
633307,14119
633308,10482
633309,11054
633310,8797
633311,7706
633312,22476
633313,13848
633401,17151
633402,11577
633403,9953
633404,11256
633405,17485
633406,4728
633612,54
633702,54
633801,227
633803,293
633804,251
633805,994
633806,322
633807,1004
633808,331
633809,1294
633810,363
633811,1356
633812,118
633901,1731
633902,497
633903,1035
633904,251
635111,68357
635201,90276
635202,72552
635203,79728
635204,81739
635205,87599
635206,90913
635207,64488
635208,100782
635209,68339
635210,111828
635211,54830
635212,65654
635301,47912
635302,33444
635303,46117
635304,52230
635305,48100
635306,35822
635307,31098
635308,32389
635309,15514
635310,12830
635311,19242
635312,45407
635401,10689
635402,30212
635403,7851
635404,11797
635405,7698
635406,7915
637111,48852
637112,43228
637201,67162
637202,64613
637203,83413
637204,66973
637205,97891
637206,65562
637207,54071
637208,68767
637209,73364
637210,57342
637212,58560
637303,57336
637305,39080
637306,36237
637307,26547
637308,29414
637309,20320
637310,14360
637311,23938
637312,20523
637401,10768
637402,9144
637403,7185
637404,6741
637405,3395
637406,8850
637408,5648
641110,46879
641111,85347
641112,48920
641201,96141
641202,83542
641203,81534
641204,75290
641205,76569
641206,63238
641207,62179
641208,73345
641209,66817
641210,56894
641211,63669
641212,59463
641301,53319
641302,72835
641303,76691
641304,52751
641305,65911
641306,62218
641307,78513
641308,50286
641309,44772
641310,45305
641311,28357
641312,28330
641401,13772
641402,37859
641403,22959
641404,22573
641405,23292
641406,23107
641407,19229
641408,30482
641409,36377
641410,35080
641411,16390
641412,10457
641501,18653
641502,296
643109,41201
643110,101940
643111,75202
643112,100799
643201,112753
643202,77949
643203,86024
643204,73876
643205,94766
643206,79800
643207,80794
643208,82089
643209,74840
643210,102104
643211,100487
643212,86136
643301,79811
643302,59802
643303,49247
643304,77627
643305,50307
643306,50582
643307,50869
643308,68688
643309,57108
643310,73517
643311,34723
643312,38731
643401,35105
643402,1032
643403,25455
643404,10794
643405,21278
643406,10252
643407,5320
643408,9179
643409,8152
643410,13333
643411,652
643501,784
645107,74096
645108,88321
645109,89559
645110,91493
645111,77011
645112,73778
645201,71697
645202,83015
645203,57374
645204,68281
645205,66307
645206,62161
645207,68214
645208,86880
645209,36515
645210,69845
645211,30671
645212,68291
645301,39639
645302,79518
645303,2381
645304,63082
645305,1681
645306,90142
645307,24666
645308,107533
645309,23849
645310,28656
645311,10961
645312,39968
645401,17050
645402,9258
645403,5116
645404,19381
645405,6975
645406,17911
645407,55270
645408,39345
645409,18475
645410,8174
645411,33131
645412,31222
645501,21577
647105,73110
647107,70903
647108,75466
647109,79248
647110,72104
647111,76447
647112,71459
647201,71591
647202,54686
647203,56784
647204,54824
647205,65417
647206,54784
647207,64637
647208,54890
647209,26723
647210,57307
647211,44424
647212,54257
647301,40278
647303,4415
647305,2604
647307,4502
647309,13264
647311,12229
647401,12058
647403,8883
647405,6984
647407,4868
651103,69425
651105,112324
651106,119094
651107,125564
651108,68635
651109,115664
651110,95388
651111,71340
651112,82686
651201,73577
651202,83410
651203,70710
651204,74794
651205,73815
651206,67805
651207,72357
651208,70720
651209,85094
651210,72238
651211,31333
651212,448
653103,89164
653104,97891
653105,111599
653106,116901
653107,84548
653108,105569
653109,76626
653110,108502
653111,72682
653112,88714
653201,89102
653202,93152
653203,78810
653204,91835
653205,86467
653206,91086
653207,105811
653208,99410
653209,101510
653210,92371
653212,33167
655103,65516
655104,108121
655105,96615
655106,122416
655107,109348
655108,113180
655109,90936
655110,99635
655111,85885
655112,103236
655201,79647
655202,88793
655203,100397
655204,86033
655205,92600
655206,101853
655207,80265
655208,83263
655209,63569
655210,73977
655211,23261
661103,132074
661104,134079
661105,128508
661106,38163
661107,100863
661108,166690
661109,90912
661110,102475
661111,96620
661201,81665
661202,90529
661203,81394
661204,110249
661205,83175
661206,91030
661207,80713
661208,86234
661209,56153
661210,74752
661212,21063
663103,93809
663104,117579
663105,131774
663106,136852
663107,106236
663108,139912
663109,113827
663110,107218
663201,121216
663202,132339
663203,108477
663204,116357
663205,105689
663206,78876
663207,96693
663208,88372
663209,117218
663210,97463
663211,26802
665103,78871
665104,105073
665105,131315
665106,124507
665107,121040
665108,133508
665109,129959
665110,123204
665201,118733
665202,129501
665203,115740
665204,122025
665205,136932
665206,136047
665207,159176
665208,148860
665209,154492
665210,149060
665509,13421
665510,12806
665511,13391
665512,2258
665601,18428
665602,5172
665603,28544
665604,1978
665605,14765
665606,4670
665607,13513
665608,2215
665609,13731
665610,2945
665611,16261
665612,3049
667509,132
667511,132
667601,132
667603,132
667605,132
667607,132
667609,263
667611,263
671103,100790
671104,121463
671105,136501
671106,106351
671107,119123
671108,129433
671109,118973
671110,116995
671201,89379
671202,131129
671203,119316
671204,133554
671205,118585
671206,135724
671207,132578
671208,169356
671209,169400
671210,175948
673103,101007
673104,98672
673105,113710
673106,99884
673107,112946
673108,118001
673109,103735
673110,108021
673201,95166
673202,96661
673203,98552
673204,100386
673205,124650
673206,117560
673207,150580
673208,142120
673209,149309
673210,139603
675103,58700
675104,81309
675105,87624
675106,97191
675107,108372
675108,97299
675109,102853
675110,91340
675201,95500
675202,88092
675203,101466
675204,108799
675205,111862
675206,106589
675207,138652
675208,150663
675209,127705
675210,145382
677103,52644
677105,63496
677106,52997
677107,82675
677108,70927
677109,90963
677110,83230
677201,80353
677202,108614
677203,93956
677204,104912
677205,101410
677206,108910
677207,109410
677208,97625
677209,93604
P67508,95544
P67509,80154
P67510,108913
P67511,106777
P67512,210779
P67513,240365
P67514,239466
P67515,247161
P67516,275299
P67601,245771
P67602,293237
P67603,366111
P67604,338895
P67605,357828
P67606,310793
P67607,303408
P67608,267146
P67609,249670
P67610,217596
P67611,203146
P67612,222000
P67613,215083
P67614,191666
P67615,193257
P67616,180069
P67701,10760
P67702,125629
P71301,278
P71302,370
P71303,1618
P71304,1549
P71305,2948
P71306,2842
P71307,2550
P71308,2224
P71309,2325
P71310,1714
P71503,106994
P71505,126379
P71507,220815
P71508,112231
P71509,247943
P71510,181821
P71511,226719
P71512,242018
P71513,234892
P71514,265349
P71515,236757
P71516,261829
P71601,253040
P71602,268008
P71603,250857
P71604,278011
P71605,241322
P71606,318871
P71607,207550
P71608,288280
P71609,248796
P71610,246091
P71611,233166
P71612,221139
P71613,189211
P71614,212333
P71615,165066
P71616,172155
P71701,127477
P71702,155654
P73301,231
P73303,1602
P73304,1149
P73305,3070
P73306,3211
P73307,2755
P73308,2229
P73309,2929
P73310,2060
P73311,2183
P73312,1761
P73502,127128
P73503,116346
P73504,159229
P73505,183469
P73506,215608
P73507,183928
P73508,86535
P73509,117291
P73510,60695
P73511,101969
P73512,33042
P73513,147533
P73514,211575
P73515,230908
P73516,234064
P73601,230468
P73602,220403
P73603,216519
P73604,229446
P73605,203423
P73606,172837
P73607,192273
P73608,177632
P73609,184906
P73610,184515
P73611,225116
P73612,215097
P73613,198881
P73614,197861
P73615,169040
P73616,180665
P73701,138948
P73702,80026
P73704,73063
P75303,1362
P75304,1580
P75305,3625
P75306,3301
P75307,3469
P75308,3951
P75309,100831
P75310,4322
P75311,100907
P75312,3137
P75313,99598
P75314,4906
P75315,108592
P75401,114005
P75403,141847
P75405,132453
P75407,117556
P75409,134559
P75411,131222
P75413,114264
P75415,122498
P75501,184748
P75502,122753
P75503,199466
P75504,199539
P75505,236543
P75506,256392
P75507,231526
P75508,251352
P75509,235750
P75510,252920
P75511,224242
P75512,247816
P75513,218011
P75514,236476
P75515,235842
P75516,232900
P75601,234589
P75602,228017
P75603,246396
P75604,233007
P75605,224098
P75606,223863
P75607,206128
P75608,194131
P75609,193452
P75610,190624
P75611,185073
P75612,216793
P75613,181367
P75614,205408
P75615,192628
P75616,180010
P75701,125521
P75702,113299
P75703,70188
P75704,95375
P77303,1777
P77304,1173
P77305,2052
P77306,3263
P77307,3404
P77308,2916
P77309,104059
P77310,115347
P77311,111842
P77312,100540
P77313,106399
P77314,107097
P77315,113586
P77316,102965
P77401,123798
P77402,104284
P77403,135354
P77404,118406
P77405,149057
P77406,101634
P77407,134288
P77408,126420
P77409,142577
P77410,123005
P77411,134240
P77412,122415
P77413,121245
P77414,116825
P77415,125433
P77416,163260
P77501,180462
P77502,172485
P77503,185096
P77504,178467
P77505,172543
P77506,184777
P77507,214418
P77508,214113
P77509,206734
P77510,205944
P77511,206980
P77512,226778
P77513,214354
P77514,220410
P77515,228363
P77516,229463
P77601,231313
P77602,229193
P77603,218183
P77604,238196
P77605,223231
P77606,226244
P77607,219165
P77608,216687
P77609,205437
P77610,231763
P77611,182029
P77612,212075
P77613,181978
P77614,228275
P77615,184059
P77616,207137
P77701,139833
P77702,100253
P77703,72706
P81303,1571
P81304,1362
P81305,2692
P81306,2069
P81307,2954
P81308,2413
P81309,147005
P81310,149097
P81311,100706
P81312,108107
P81313,95040
P81314,109755
P81315,106999
P81316,121564
P81401,103165
P81402,111360
P81403,84870
P81404,124936
P81405,108082
P81406,129337
P81407,127831
P81408,132045
P81409,123003
P81410,132051
P81411,134048
P81412,140950
P81413,154787
P81414,144669
P81415,175776
P81416,165902
P81501,184361
P81502,186596
P81503,192666
P81504,181994
P81505,185597
P81506,189052
P81507,180309
P81508,186125
P81509,117323
P81510,192893
P81511,166143
P81512,125396
P81513,199858
P81514,177313
P81515,196411
P81516,188129
P81601,191938
P81602,198451
P81603,206160
P81604,218523
P81605,192185
P81606,219904
P81607,211062
P81608,211495
P81609,208295
P81610,224655
P81611,213956
P81612,221465
P81613,210046
P81614,207132
P81615,190979
P81616,228240
P81701,82617
P81702,130095
P83303,717
P83304,218
P83305,1603
P83306,1530
P83307,3183
P83308,2154
P83309,145947
P83310,135586
P83311,104521
P83312,111561
P83313,97428
P83314,98329
P83315,94138
P83316,90313
P83401,106630
P83402,101626
P83403,93301
P83404,89620
P83405,96276
P83406,120514
P83407,136618
P83408,136300
P83409,126611
P83410,131764
P83411,136491
P83412,147267
P83413,140471
P83414,161906
P83415,165491
P83416,166303
P83501,178393
P83502,179131
P83503,174474
P83504,184590
P83505,172542
P83506,174621
P83507,165782
P83508,180621
P83509,173849
P83510,178996
P83511,172207
P83512,184040
P83513,187559
P83514,180384
P83515,176975
P83516,174081
P83601,189078
P83602,176167
P83603,185837
P83604,153753
P83605,157793
P83606,164693
P83607,197528
P83608,182259
P83609,201464
P83610,193678
P83611,178949
P83612,178895
P83613,154496
P83614,161069
P83615,181774
P83616,108845
P83701,86437
P85301,93
P85303,890
P85304,1126
P85305,1622
P85306,1688
P85307,1530
P85308,3766
P85309,140205
P85310,150599
P85311,138492
P85312,152828
P85313,125878
P85314,107621
P85315,120643
P85316,102133
P85401,109260
P85402,99402
P85403,99951
P85404,88275
P85405,117116
P85406,115509
P85407,129981
P85408,141244
P85409,153740
P85410,136683
P85411,181043
P85412,153153
P85413,179688
P85414,165056
P85415,174542
P85416,168854
P85501,180950
P85502,195128
P85503,173154
P85504,182501
P85505,168020
P85506,166443
P85507,162506
P85508,164174
P85509,161971
P85510,171528
P85511,172887
P85512,165384
P85513,156691
P85514,168372
P85515,167178
P85516,161577
P85601,144075
P85602,168333
P85603,160020
P85604,141830
P85605,167189
P85606,152495
P85607,165443
P85608,160262
P85609,169431
P85610,166270
P85611,141047
P85612,148322
P85613,68743
P85614,133876
P85616,113137
P87303,1635
P87304,1026
P87305,1531
P87306,2137
P87307,2690
P87308,2403
P87309,142535
P87310,142811
P87311,140621
P87312,145889
P87313,123425
P87314,114749
P87315,103652
P87316,109663
P87401,107390
P87402,104237
P87403,97393
P87404,125108
P87405,119408
P87406,120921
P87407,135734
P87408,132724
P87409,156907
P87410,154492
P87411,177675
P87412,168844
P87413,176259
P87414,159113
P87415,163080
P87416,169207
P87501,173650
P87502,168081
P87503,158494
P87504,167130
P87505,157596
P87506,164425
P87507,154854
P87508,166810
P87509,157572
P87510,167756
P87511,156568
P87512,154441
P87513,144635
P87514,154181
P87515,145485
P87516,163525
P87601,165105
P87602,148996
P87603,145235
P87604,144169
P87605,139229
P87606,134605
P87607,122057
P87608,117247
P87609,105597
P87610,101723
P87611,82663
P87613,62245
P91303,978
P91304,299
P91305,539
P91306,1782
P91307,2506
P91308,2680
P91309,102228
P91310,120516
P91311,112663
P91312,126611
P91313,108302
P91314,115453
P91315,107172
P91316,108232
P91401,108774
P91402,107487
P91403,106448
P91404,115538
P91405,125089
P91406,112059
P91407,136960
P91408,126564
P91409,155882
P91410,150293
P91411,173131
P91412,153737
P91413,185444
P91414,161927
P91415,201833
P91416,173351
P91501,173777
P91502,172270
P91503,164339
P91504,155243
P91505,157257
P91506,160754
P91507,149864
P91508,147247
P91509,139802
P91510,152306
P91511,122950
P91512,139640
P91513,123769
P91514,136504
P91515,124893
P91516,129081
P91601,94305
P91602,120114
P91603,86737
P91604,106987
P91606,99383
P93303,609
P93305,2112
P93306,1440
P93307,3851
P93308,3673
P93309,104943
P93310,94584
P93311,104348
P93312,107195
P93313,111472
P93314,105833
P93315,109622
P93316,110857
P93401,109858
P93402,105926
P93403,100002
P93404,119896
P93405,133412
P93406,151187
P93407,150624
P93408,194010
P93409,196825
P93410,175361
P93411,184574
P93412,181287
P93413,193126
P93414,212833
P93415,212158
P93416,167979
P93501,159238
P93502,128767
P93503,138449
P93504,128297
P93505,140698
P93506,124644
P93507,119698
P93508,110279
P93509,110124
P93510,101372
P93511,101537
P93512,102587
P93513,102537
P93514,99863
P93515,93714
P93516,72888
P93601,72934
P93602,61120
P93603,57207
